feature_name,feature_display_name
Age,Age
Sex_Male,"Sex, Male"
TRT,TRT
TST,TST
N1,N1
N1%,N1%
N2,N2
N2%,N2%
N3,N3
N3%,N3%
REM,REM
REM%,REM%
W,W
SOL,SOL
REML,REML
SEI,SEI
WASO,WASO
AHI,AHI
NSS,NSS
SFI,SFI
W_mean_gradient_F3M2        ,"Gradient, mean, F3"
W_mean_gradient_F4M1        ,"Gradient, mean, F4"
W_mean_gradient_C3M2        ,"Gradient, mean, C3"
W_mean_gradient_C4M1        ,"Gradient, mean, C4"
W_mean_gradient_O1M2        ,"Gradient, mean, O1"
W_mean_gradient_O2M1        ,"Gradient, mean, O2"
W_kurtosis_F3M2             ,"kurtosis, F3"
W_kurtosis_F4M1             ,"kurtosis, F4"
W_kurtosis_C3M2             ,"kurtosis, C3"
W_kurtosis_C4M1             ,"kurtosis, C4"
W_kurtosis_O1M2             ,"kurtosis, O1"
W_kurtosis_O2M1             ,"kurtosis, O2"
W_delta_bandpower_max_F     ,"δ, bandpower, max, F"
W_delta_bandpower_max_C     ,"δ, bandpower, max, C"
W_delta_bandpower_max_O     ,"δ, bandpower, max, O"
W_theta_bandpower_max_F     ,"θ, bandpower, max, F"
W_theta_bandpower_max_C     ,"θ, bandpower, max, C"
W_theta_bandpower_max_O     ,"θ, bandpower, max, O"
W_alpha_bandpower_max_F     ,"α, bandpower, max, F"
W_alpha_bandpower_max_C     ,"α, bandpower, max, C"
W_alpha_bandpower_max_O     ,"α, bandpower, max, O"
W_delta_bandpower_min_F     ,"δ, bandpower, min, F"
W_delta_bandpower_min_C     ,"δ, bandpower, min, C"
W_delta_bandpower_min_O     ,"δ, bandpower, min, O"
W_theta_bandpower_min_F     ,"θ, bandpower, min, F"
W_theta_bandpower_min_C     ,"θ, bandpower, min, C"
W_theta_bandpower_min_O     ,"θ, bandpower, min, O"
W_alpha_bandpower_min_F     ,"α, bandpower, min, F"
W_alpha_bandpower_min_C     ,"α, bandpower, min, C"
W_alpha_bandpower_min_O     ,"α, bandpower, min, O"
W_delta_bandpower_mean_F    ,"δ, bandpower, mean, F"
W_delta_bandpower_mean_C    ,"δ, bandpower, mean, C"
W_delta_bandpower_mean_O    ,"δ, bandpower, mean, O"
W_theta_bandpower_mean_F    ,"θ, bandpower, mean, F"
W_theta_bandpower_mean_C    ,"θ, bandpower, mean, C"
W_theta_bandpower_mean_O    ,"θ, bandpower, mean, O"
W_alpha_bandpower_mean_F    ,"α, bandpower, mean, F"
W_alpha_bandpower_mean_C    ,"α, bandpower, mean, C"
W_alpha_bandpower_mean_O    ,"α, bandpower, mean, O"
