feature,b_age,b_DEM,b_AgeDEM,b_MCI,b_AgeMCI,t_DEM,t_AgeDEM,t_MCI,t_AgeMCI
N2_delta_bandpower_kurtosis_F,-0.1459524542363081,-0.49593795592507484,-0.03510156390669676,-0.24516259804484872,-0.07441868440549072,-8.474346364924996,-0.8068825872776636,-5.552647221626345,-1.910143421397655
N3_delta_bandpower_max_F     ,-0.23379999887993486,-0.4848113956959493,0.05813335458176686,-0.3841229813397956,0.03828113388967694,-8.431879386754419,1.3601348385181382,-8.855006028819457,1.000095527682212
N2_kurtosis_F4M1             ,-0.2367397191398656,-0.479117713984351,0.05145118834647612,-0.38832602666892047,-0.008119054807946911,-8.353979328965396,1.206845269497984,-8.974591127973163,-0.21264822772958622
N3_delta/theta_max_F         ,-0.23121544835184818,-0.4804311329079942,0.05821046969204131,-0.3827972621566045,0.04006803833372911,-8.347962468067603,1.3606783125018747,-8.816275890345237,1.045809425490908
N3_delta/alpha_max_F         ,-0.22348128453488847,-0.47828749205618337,0.05805064124797655,-0.3813514441359561,0.04124837841058039,-8.292339596825315,1.3539420967720783,-8.763557802404367,1.074236888933607
N2_delta_bandpower_std_F     ,-0.21582579339045732,-0.47589015488571934,0.062452539310703443,-0.38562816780767406,-0.0024148791982605993,-8.24466558445343,1.4555309345715375,-8.855275508118451,-0.06284444004629115
N2_kurtosis_C4M1             ,-0.2529634620592951,-0.4715726240768074,0.08179990698306425,-0.3607040557373365,0.03086115269252457,-8.234167246614625,1.9214492688993094,-8.348128555550968,0.8094469069095609
N2_kurtosis_F3M2             ,-0.2388089004440296,-0.46893220404401,0.022618385435973973,-0.3838712617036697,-0.028943433718612032,-8.191764942193979,0.5315376568721197,-8.888327070913608,-0.759490947028947
N2_delta_bandpower_max_F     ,-0.18551370167657047,-0.4755773719721132,0.05134108696602171,-0.40892313018774656,-0.001060189715228302,-8.186965949989272,1.1889726775841731,-9.33061956173553,-0.027415142925802695
N3_delta_bandpower_std_F     ,-0.24418559392986863,-0.46357009368632435,0.07294909976613018,-0.3426537634125286,0.03323225601865457,-8.069276811052585,1.7082213845251948,-7.905725187878662,0.8689287250038888
N3_delta_bandpower_max_C     ,-0.22640465709175048,-0.4625379132977149,0.0450762678758473,-0.374140880673427,0.041860321293907446,-8.023586399012713,1.0518992900622193,-8.602473929977558,1.0907591884888883
N2_delta/theta_std_F         ,-0.2057194271112898,-0.4622143580685548,0.06442440383485168,-0.3735924670656808,-0.0036329266742151224,-7.9815490967273,1.4965773905956847,-8.550841814391003,-0.0942335420395673
N2_delta/theta_max_F         ,-0.17821623794195418,-0.4644910099160648,0.05669457958720948,-0.39677159342638957,-0.0011169723967707624,-7.977116042704012,1.309830654868656,-9.031838698335841,-0.02881483676922304
N3_delta/theta_std_F         ,-0.24097182298780404,-0.4583313955963734,0.07096113088135303,-0.34088346727486035,0.034481176419751174,-7.96950507614868,1.6598822715756687,-7.8564199014910026,0.900614520612001
N3_delta/alpha_std_F         ,-0.23481246449185864,-0.45814556387441807,0.07104202916638566,-0.3395699042069206,0.0349079961215823,-7.9521678801748585,1.658832081867786,-7.812288097686044,0.9101481681003459
N2_delta/alpha_std_F         ,-0.20354841436242402,-0.45686662155563684,0.06411757332051242,-0.3675272349664695,-0.0030084245713633637,-7.882509693526699,1.4881858637307357,-8.404881894441084,-0.07796852830226178
N2_kurtosis_C3M2             ,-0.2626048811542591,-0.44785483397832687,0.06792883265081316,-0.33924825757327437,-0.001117657288791533,-7.844971519217673,1.6007122574005017,-7.876598982967888,-0.029408162248927196
N3_delta/theta_max_C         ,-0.22288665088944842,-0.4516879357986372,0.04205919681917733,-0.36726491371504016,0.04307842165331269,-7.824774974567003,0.9801653710237396,-8.432955537446647,1.120981059598399
N2_delta/alpha_max_F         ,-0.1731447505380155,-0.4533376716973633,0.05563365978382578,-0.3901491319503044,0.0015240256744723636,-7.773337317168267,1.283300456151957,-8.867135670240764,0.039253927278072566
N3_delta/alpha_max_C         ,-0.2160299867072963,-0.44901508997593836,0.04182297635346719,-0.3697924852182332,0.0456888851524768,-7.764211002405729,0.972873431757439,-8.475424870271228,1.1867304335125533
N3_delta_bandpower_mean_F    ,-0.21353577198935886,-0.44083346117210176,0.054364002383436846,-0.3911907407514856,0.048424708888546185,-7.617839072060471,1.2637864042691476,-8.960099097901443,1.2569829491189373
N1_theta_bandpower_kurtosis_C,-0.15127691187715953,-0.44141198761753775,-0.059307586148057825,-0.36190988120669265,-0.047456001487868604,-7.561734299747046,-1.366760920071398,-8.217595028982478,-1.2211627801346474
N3_delta/theta_mean_F        ,-0.21166965545693334,-0.43684626957142914,0.05474615665555968,-0.392949622184332,0.0505075263929509,-7.544595363159802,1.271938083554836,-8.995207804121918,1.3102933786796849
N3_delta_bandpower_std_C     ,-0.235262673056066,-0.4333613294633759,0.05779688404707345,-0.3303460810530815,0.03757366020555005,-7.5187405085349726,1.3489764904601236,-7.5968072052034925,0.9792274316161846
N1_theta/alpha_min_O         ,0.09465108565501347,0.443421631666369,-0.11539920217150407,0.12949846453962885,0.04109476111819276,7.466675964497311,-2.6140762365186423,2.8902942039476525,1.0394461978227039
N3_delta/alpha_mean_F        ,-0.2019171781302576,-0.43310920581915957,0.05366863494699794,-0.3924899196559284,0.053635218992979586,-7.461249343264927,1.24376892565864,-8.962097209568658,1.387935624439604
N3_delta/theta_std_C         ,-0.23225911525268875,-0.42132324326308707,0.05331825064854195,-0.32277816447236457,0.03810549475523032,-7.301138753942091,1.242956956957298,-7.413893364879497,0.9919000547080387
N3_delta/alpha_std_C         ,-0.2262608715086757,-0.42177761932138136,0.05370760298181136,-0.3258251799918655,0.0402609199999845,-7.297489901025626,1.2500597030734395,-7.472081832955269,1.0463543694295119
N3_delta_bandpower_mean_C    ,-0.1993212601916123,-0.41965337274317266,0.038341274081405634,-0.38369370867603547,0.05069383401327944,-7.224514083612534,0.8879519773595483,-8.755271269900614,1.3109260350435525
N1_theta_bandpower_min_O     ,0.08989817127343953,0.42869980918294476,-0.12498155264567092,0.11305308856397316,0.03829564111160771,7.210930303744731,-2.8280620728226626,2.5205043052772953,0.9675924662911465
N2_theta_bandpower_kurtosis_C,-0.27723495079587795,-0.40883840555229467,0.062365338595994455,-0.28821793349719627,0.010558151729692744,-7.175585909532439,1.4724955168387253,-6.704921332445619,0.27835479528345664
N1_theta_bandpower_kurtosis_F,-0.13430634163434882,-0.41359711109074754,-0.06364626519317858,-0.33485020193338394,-0.1027544383824904,-7.064976057916776,-1.462551393589277,-7.581423676742474,-2.6365676174088586
W_theta_bandpower_kurtosis_O,-0.07125820821644853,-0.4165299432404116,-0.11062351532629014,-0.32290738730641694,-0.04440913971682675,-7.047151663632655,-2.5177920635601967,-7.241230565936407,-1.1286125551582658
N3_delta/theta_mean_C        ,-0.19607797217381737,-0.4096383428846479,0.03562980217419273,-0.3797787384917977,0.05188191972970292,-7.044738448158267,0.8242950619491831,-8.656890511188871,1.340248828890296
W_theta_bandpower_kurtosis_F,-0.12980434800638824,-0.41085778610705076,-0.06370672567473416,-0.33819184342282055,-0.08098507767455329,-7.008231659173363,-1.461864857208774,-7.646224774170901,-2.075042788716009
N2_theta_bandpower_kurtosis_F,-0.2524586017645093,-0.39995743275215706,0.07285019649615007,-0.22322186784911396,-0.036272343925196765,-6.9612738684398785,1.7057315780156763,-5.149661586338722,-0.9483217134851984
