feature_name,Odds_Ratio,p,2.5%,97.5%,p_adj,sig_BH
N3_delta/alpha_max_F         ,0.5165327837903236,4.6347021591266955e-18,0.4448158710080424,0.5998124934830783,1.6437743657702681e-15,True
N3_delta/theta_max_F         ,0.5161174108281329,4.057583028482117e-18,0.444493348057961,0.5992827180063912,1.6437743657702681e-15,True
N3_delta_bandpower_max_F     ,0.5085262229105338,1.8312420629441332e-18,0.437177696301667,0.5915190129214923,1.6437743657702681e-15,True
N3_delta_bandpower_std_F     ,0.4998830454839124,6.4034988149373296e-18,0.4270113495785047,0.5851906732898934,1.7033306847733298e-15,True
N3_delta_bandpower_max_C     ,0.5179411341982701,1.4071408186263747e-17,0.4453122768978685,0.6024155012373846,2.37411009568623e-15,True
N3_delta/theta_std_F         ,0.5099703404426936,1.5619145366356774e-17,0.4368046197708541,0.5953914779282059,2.37411009568623e-15,True
N3_delta/alpha_std_F         ,0.5081087313894271,1.4232961856407068e-17,0.4349295566115031,0.5936006854203864,2.37411009568623e-15,True
N3_delta/alpha_max_C         ,0.5253258711994042,3.5614736722128505e-17,0.4522742651265806,0.6101768157738899,4.2104533191494145e-15,True
N3_delta/theta_max_C         ,0.5266518651727359,3.432810752258723e-17,0.4537163746387983,0.6113118295779569,4.2104533191494145e-15,True
N2_delta_bandpower_kurtosis_F,0.5722551775374541,6.132695743899715e-17,0.5020832443350794,0.6522344489948221,5.931989337735724e-15,True
N3_delta_bandpower_std_C     ,0.5056595351845924,6.025406053585262e-17,0.430991139316184,0.5932640887438695,5.931989337735724e-15,True
N3_delta/alpha_std_C         ,0.5133147029226488,1.2500283624051663e-16,0.4383428462898944,0.6011093518845951,1.1083584813325808e-14,True
N3_delta/theta_std_C         ,0.5168347610058431,1.4355045682512607e-16,0.4419255866011878,0.6044415129668099,1.1749052773994934e-14,True
N2_kurtosis_F3M2             ,0.5568988370855821,4.6713139950508445e-16,0.4835164311815497,0.641418356744167,3.550198636238642e-14,True
N3_delta_bandpower_mean_F    ,0.5335869552424956,7.868896535002399e-16,0.4579711434593584,0.6216877261181049,5.581670608828369e-14,True
N3_delta/theta_mean_F        ,0.5421203308415503,1.461923822279428e-15,0.4664316784686592,0.6300911080410236,9.721793418158197e-14,True
N2_delta_bandpower_std_F     ,0.5532346984667078,1.7998878557753605e-15,0.4781480248787595,0.6401127175316821,1.1265180462029315e-13,True
N3_delta/alpha_mean_F        ,0.54511510688635,2.2608146924156058e-15,0.469166868700571,0.6333577658173525,1.3363926848501138e-13,True
N2_delta_bandpower_max_F     ,0.5661082630911961,3.342284549782589e-15,0.4913816033058042,0.65219894962304,1.87167934787825e-13,True
N2_kurtosis_F4M1             ,0.5709047163370494,8.429881584773791e-15,0.4955480167197422,0.6577207135110346,4.484697003099657e-13,True
N3_delta_bandpower_mean_C    ,0.5477622371431949,9.14124674192322e-15,0.4704224858409196,0.6378170208079337,4.631565015907765e-13,True
N2_delta/alpha_std_F         ,0.5686698616691219,1.5506175951353042e-14,0.4924094530726123,0.6567408678953423,7.499350551018017e-13,True
N2_delta/theta_std_F         ,0.5720159445425766,1.7673595794270072e-14,0.4958940407059145,0.6598228935059545,8.175959097871025e-13,True
N2_delta/theta_max_F         ,0.58158793014677,2.291303163164901e-14,0.5060290837910445,0.6684290119420807,9.75178626242982e-13,True
N3_delta/theta_mean_C        ,0.5594548363226722,2.220266865398918e-14,0.4819842592914169,0.6493774596393787,9.75178626242982e-13,True
N3_delta/alpha_mean_C        ,0.5594950880858199,2.7882781700509302e-14,0.48175034892078,0.6497862519319846,1.1410492203593037e-12,True
N2_delta/alpha_max_F         ,0.5826263163669979,3.676182582054259e-14,0.506596918131919,0.6700661065509734,1.448688247150271e-12,True
N2_kurtosis_C4M1             ,0.5825950187904892,5.904558772823017e-14,0.5059802117354353,0.6708107314223652,2.2437323336727467e-12,True
N2_kurtosis_C3M2             ,0.5922253143574815,2.0127897774952565e-13,0.5149925698889679,0.6810405498499427,7.384856287086045e-12,True
FWHM_O2,0.6013408872694254,8.577840611329606e-13,0.5231022485467366,0.691281415261727,3.042274136818234e-11,True
N2_sigma_bandpower_kurtosis_O,0.6292221552032102,3.176350478948654e-12,0.5523637821718991,0.7167749468327013,1.0902054547101187e-10,True
N3_delta_bandpower_max_O     ,0.6046278296022004,8.459546299551363e-12,0.5233449730366599,0.6985350603603854,2.8127991446008284e-10,True
Q_C4,0.6422121110759148,1.1542459797323216e-11,0.5651059410293242,0.7298390720531838,3.721568855864213e-10,True
Q_O2,0.6408059612872594,1.3179390490862524e-11,0.5633065723345054,0.728967670871493,4.124373965375802e-10,True
N3_delta/alpha_max_O         ,0.6102058029681522,1.6246245750921655e-11,0.5285177122688108,0.7045196657224324,4.938858708280184e-10,True
COUPL_ANGLE_C4,0.6578739096164611,1.966252709925334e-11,0.5821180261856157,0.743488539240055,5.735307314200359e-10,True
W_theta_bandpower_kurtosis_O,0.6394800527993225,1.994420776554636e-11,0.5611509051746533,0.7287428999173529,5.735307314200359e-10,True
Wake_IAF_F,0.6075116355198217,2.6242621026405552e-11,0.5247069573537115,0.7033838261900036,7.347933887393556e-10,True
N3_delta/theta_max_O         ,0.6178123830088735,3.3815767224311787e-11,0.5358206361220271,0.7123505794057865,9.225634955555831e-10,True
N2_mean_gradient_O2M1        ,0.5895487665758458,4.2309888748007e-11,0.5038815270475909,0.6897806915201197,1.1254430406969862e-09,True
N3_delta_bandpower_mean_O    ,0.6172858300765649,8.661549204755906e-11,0.5335810700954933,0.7141216534258232,2.247777647282996e-09,True
Q_C3,0.6620088056324422,9.644602749661415e-11,0.5842760979786245,0.7500831546097683,2.4432993632475587e-09,True
N3_delta/theta_min_F         ,0.6181507146963856,1.0842903334153516e-10,0.5341465498784675,0.7153660473265109,2.6220111698953047e-09,True
N3_delta_bandpower_min_F     ,0.6107902812786719,1.0755664348495303e-10,0.5258850561016317,0.7094036298920448,2.6220111698953047e-09,True
COUPL_PV_C3,1.491864337324756,1.2659512515957095e-10,1.3206382265818202,1.6852906088763309,2.9932714037729668e-09,True
N1_theta_bandpower_kurtosis_O,0.6409614148846695,1.8233519608270843e-10,0.5590467899474877,0.734878623325156,4.196211908707179e-09,True
N3_delta/alpha_mean_O        ,0.6245813367459916,1.853589846891329e-10,0.5404109373942686,0.7218614932043881,4.196211908707179e-09,True
N3_delta/alpha_min_F         ,0.6263754486301917,2.5417545825369996e-10,0.5418424506854698,0.7240964641111594,5.634222657957016e-09,True
N1_theta_bandpower_kurtosis_C,0.6544453889570438,2.7160003015998273e-10,0.5737454671420233,0.7464961235521476,5.897600654902482e-09,True
Wake_IAF_O,0.6551280751805093,3.3151677649044935e-10,0.574159018073836,0.7475155512310101,7.054677003716763e-09,True
