feature_name,Odds_Ratio,p,2.5%,97.5%,p_adj,sig_BH
N2_delta/theta_max_F         ,0.6675161280853737,1.3840839901199213e-11,0.5936954325159517,0.7505157642291901,7.3633268274379815e-09,True
SO_NEG_DUR_O1,1.5040369977383252,7.688905370129553e-12,1.3381273807442462,1.69051715338756,7.3633268274379815e-09,True
N2_delta_bandpower_max_F     ,0.6704066262319606,2.1905230013978753e-11,0.5963228951593054,0.7536940944983375,7.769054911624464e-09,True
N2_delta/theta_std_F         ,0.6699963285169066,4.83567202786634e-11,0.5946109909694723,0.7549390896630452,1.2862887594124465e-08,True
N2_delta/alpha_max_F         ,0.6796622400656042,7.746359836077875e-11,0.6050152641624331,0.7635191836200916,1.6258668402264464e-08,True
N2_delta_bandpower_std_F     ,0.6745439499704824,9.16842203135214e-11,0.5988148812280503,0.7598500884090363,1.6258668402264464e-08,True
W_theta_bandpower_kurtosis_F,0.6908358572962757,2.1542075483119888e-10,0.6163060231634313,0.7743785778314916,3.274395473434223e-08,True
N2_delta/alpha_std_F         ,0.6821808862701345,2.4902993596975945e-10,0.6059685216780636,0.7679784426814605,3.312098148397801e-08,True
SO_DUR_O1,1.448805086109985,3.8128914193518535e-10,1.2900629680737254,1.627080405751329,4.056916470190372e-08,True
SO_RATE_F3,0.6848579582857011,3.588204838912498e-10,0.6084405057963689,0.7708731068345946,4.056916470190372e-08,True
SO_NEG_DUR_C4,1.7684830975388477,5.3163559303995e-10,1.4772292161115723,2.117161258503285,5.142366099950062e-08,True
COUPL_ANGLE_C3,0.7022655781579735,6.026915990625916e-10,0.6279084896606029,0.7854280526325178,5.343865511688312e-08,True
N2_delta/theta_mean_F        ,0.6928834726809221,7.58229856754391e-10,0.616464410715695,0.7787757060573995,5.784970440839097e-08,True
N3_delta/theta_max_F         ,0.6792428661335762,7.61180321163039e-10,0.600505681774749,0.7683039231699005,5.784970440839097e-08,True
SO_NEG_DUR_F3,1.4411542719956112,1.2116189921713303e-09,1.280964856353736,1.6213759693635663,8.052700182581741e-08,True
N2_kurtosis_F3M2             ,0.6965570851706018,1.222770653278914e-09,0.6198816284975607,0.782716813333135,8.052700182581741e-08,True
N3_delta/alpha_max_F         ,0.6840573608603854,1.2866156306756542e-09,0.6051133059536938,0.7733005841109104,8.052700182581741e-08,True
N2_delta_bandpower_mean_F    ,0.6960330222795652,1.5056667406991976e-09,0.6188642377036155,0.7828243071554616,8.431733747915507e-08,True
N3_delta/theta_max_C         ,0.6836385899846771,1.478426873828082e-09,0.6043487368844466,0.7733311798177855,8.431733747915507e-08,True
N3_delta/alpha_max_C         ,0.6869033012488872,1.990670055826699e-09,0.6075794558806026,0.7765834422145794,1.0590364696998038e-07,True
N1_IAF_O,0.7046107498044504,2.309631411714858e-09,0.6281556874907204,0.7903714296104722,1.1702132486021949e-07,True
SO_DUR_F3,1.4198903267589709,2.957394987978461e-09,1.2646359102559428,1.5942047222237046,1.2602695547847006e-07,True
N1_IAF_C,0.6944066892999861,3.07960605492502e-09,0.6155180272811568,0.7834062184572009,1.2602695547847006e-07,True
SO_DUR_C4,1.541158593570215,2.8046588237408315e-09,1.3362654029839445,1.7774686115733116,1.2602695547847006e-07,True
SO_NEG_DUR_C3,1.436949784870916,2.9235964511207795e-09,1.274839882230837,1.6196737433624553,1.2602695547847006e-07,True
N3_delta_bandpower_max_F     ,0.6902799579958847,3.0026404582999543e-09,0.610707800605988,0.780219967614621,1.2602695547847006e-07,True
N2_delta/theta_max_C         ,0.7039979989472315,3.343658750938582e-09,0.626690290026534,0.7908422875049206,1.3157172248574476e-07,True
N3_delta/theta_std_F         ,0.6870289931351111,3.4624137496248622e-09,0.6065856774317294,0.7781404259439816,1.3157172248574476e-07,True
N2_delta_bandpower_max_C     ,0.7052757763119937,5.003150785644552e-09,0.6273764216876206,0.7928476484890191,1.774119976907401e-07,True
N2_delta/alpha_mean_F        ,0.7075057045828025,5.168958579335473e-09,0.6299584792987993,0.794598911620939,1.774119976907401e-07,True
N3_delta/theta_mean_F        ,0.6945586111871683,5.1434475220929665e-09,0.6146206967858472,0.7848932958115713,1.774119976907401e-07,True
N3_delta_bandpower_max_C     ,0.6942735266872121,5.3860242683248254e-09,0.6141848601642955,0.7848056198092525,1.7908530692180046e-07,True
N3_delta/alpha_std_F         ,0.6934017086793455,7.011837485398693e-09,0.6125801366652956,0.7848865818875562,2.2607863892315787e-07,True
N3_delta/alpha_mean_F        ,0.6985018038225838,7.425303118029885e-09,0.6184931590021088,0.7888604147709575,2.3236830934069993e-07,True
SO_DUR_C3,1.41452326506117,8.411432786400931e-09,1.2570766547746497,1.59168978263939,2.5570755670658835e-07,True
SO_RATE_C4,0.7079075300453161,9.977221830756896e-09,0.629028809016096,0.796677455645814,2.948823341090372e-07,True
N3_delta/theta_mean_C        ,0.7013676614371033,1.1352705610534356e-08,0.6209530561211465,0.7921961115427368,3.205051522543979e-07,True
SO_RATE_F4,0.7153898189625941,1.1446612580514211e-08,0.6376683792984356,0.8025842423586972,3.205051522543979e-07,True
N3_delta/theta_std_C         ,0.6940597486019028,1.2876042570168133e-08,0.6119877362342342,0.7871382155360083,3.4250273236647237e-07,True
N3_delta/alpha_mean_C        ,0.7027137676760097,1.2608807271603565e-08,0.6223175288026896,0.793496272283177,3.4250273236647237e-07,True
N2_kurtosis_F4M1             ,0.7203996155065503,1.6417903383108377e-08,0.6428825643559246,0.8072634642719297,4.0730876310929094e-07,True
Wake_IAF_F,0.7021667802148764,1.5878059829624988e-08,0.621137720846789,0.7937662948004092,4.0730876310929094e-07,True
N3_delta_bandpower_std_F     ,0.6998978713665759,1.6460786479040892e-08,0.6183521335709712,0.792197525889576,4.0730876310929094e-07,True
N3_delta/alpha_std_C         ,0.6981740239627313,1.85326473886552e-08,0.6160221558134946,0.7912815523535988,4.4815310958020756e-07,True
N2_delta/alpha_max_C         ,0.7186591293334131,2.2243041810131493e-08,0.6401021643475328,0.8068570502346406,5.259243663551091e-07,True
N3_delta_bandpower_mean_F    ,0.7091191445967271,3.137866362376125e-08,0.6278336981097982,0.8009285942240925,7.258021325148255e-07,True
N2_delta/theta_std_C         ,0.7148330771128414,3.4362840941581766e-08,0.6344761636548311,0.8053672579142016,7.738277787982563e-07,True
N1_theta_bandpower_kurtosis_F,0.7235855884070918,3.4909523855560435e-08,0.6449898650403361,0.8117586525451745,7.738277787982563e-07,True
N3_delta_bandpower_mean_C    ,0.7133848560906716,5.2152825428395963e-08,0.6317064363682728,0.8056241374162899,1.0993726056638918e-06,True
N3_delta_bandpower_std_C     ,0.7064860534537656,5.1008182854084e-08,0.6234691130181744,0.8005569695481085,1.0993726056638918e-06,True
